phewas_string,x,y,p_values,odds_ratios,snps,cluster
Abdominal pain,1,6,"[0.01049, 0.02773, 0.01696, 0.03242, 0.02983, 0.04308, 0.03493, 0.02264, 0.01873]","[1.112, 0.932, 0.928, 0.844, 0.931, 0.933, 1.206, 0.928, 1.23]","['A_1101', 'B_0702', 'C_0702', 'DPB1_1001', 'DQB1_0201', 'DQB1_0302', 'DRB1_0103', 'DRB1_0301', 'DRB1_0407']",3
Abnormal granulation tissue,2,12,"[0.02228, 0.01946, 0.04666, 0.01863, 0.04066, 0.006767]","[2.07, 2.516, 1.883, 3.083, 3.428, 2.784]","['B_0702', 'B_5101', 'C_0702', 'DPB1_0601', 'DRB1_0103', 'DRB1_0404']",3
Abnormal tumor markers,1,6,"[0.02737, 0.003445, 0.04716, 0.03352]","[0.368, 1.518, 0.677, 1.38]","['A_3201', 'DQA1_0102', 'DRB1_0401', 'DRB1_1501']",3
Abnormality in fetal heart rate or rhythm,1,8,"[0.01888, 0.001273, 0.0017, 0.001739]","[1.597, 1.859, 1.864, 1.856]","['C_0702', 'DQA1_0102', 'DQB1_0602', 'DRB1_1501']",3
Abnormality of red blood cells,1,10,"[0.03123, 0.01686]","[0.416, 3.494]","['C_0702', 'DRB1_0103']",3
Acquired deformities of finger,2,10,[0.01031],[2.057],['A_0101'],3
Acquired hemolytic anemias,2,7,"[0.02559, 0.03149, 0.03847, 0.009642, 0.02931, 0.006991, 0.04168]","[1.689, 1.434, 1.791, 0.158, 1.398, 0.293, 0.477]","['A_2902', 'B_0801', 'B_1402', 'B_5701', 'DQA1_0501', 'DQB1_0303', 'DRB1_0404']",3
Acute and chronic tonsillitis,1,11,"[0.02184, 0.03554, 0.0474]","[1.273, 0.585, 1.756]","['DQB1_0301', 'DQB1_0604', 'DRB1_0407']",3
Acute periodontitis,4,10,"[0.003918, 0.03328]","[2.31, 3.03]","['A_2402', 'DPB1_1701']",3
Acute posthemorrhagic anemia,1,10,"[0.01728, 0.0004477, 0.02571, 0.00197]","[1.139, 1.391, 0.649, 1.307]","['DQB1_0301', 'DQB1_0604', 'DRB1_0901', 'DRB1_1302']",3
Acute prostatitis,3,7,"[0.04273, 0.02678, 0.009381, 0.00364, 0.02575, 0.03524]","[2.462, 0.352, 2.325, 4.271, 1.898, 0.37]","['A_2601', 'B_0801', 'B_1501', 'B_3801', 'DPB1_0201', 'DPB1_0402']",3
Anemia in chronic kidney disease,1,9,"[0.02097, 0.04733, 0.04691, 0.02281, 0.004293, 0.03804, 0.03721, 0.04982]","[0.506, 0.557, 1.286, 0.618, 1.304, 1.24, 1.67, 1.226]","['A_2601', 'B_1302', 'B_1501', 'C_0202', 'DQA1_0501', 'DQB1_0201', 'DRB1_0103', 'DRB1_0301']",3
Aneurysm of artery of lower extremity,4,10,"[0.008519, 0.003471, 0.02528]","[2.928, 4.038, 0.426]","['B_1302', 'DPB1_1701', 'DQA1_0101']",3
