phewas_string,x,y,p_values,odds_ratios,snps,cluster
Abnormal coagulation profile,7,11,"[0.02515, 0.02392, 0.0267, 0.04502, 0.02709]","[0.727, 0.725, 1.403, 0.712, 1.503]","['A_0301', 'B_0702', 'B_1501', 'C_0401', 'C_1601']",4
Abnormal movement,4,11,"[0.002571, 0.04718, 0.01548, 0.02783, 0.03805, 0.04186, 0.00707, 0.04233, 0.03136]","[0.862, 0.846, 1.377, 1.308, 1.123, 1.237, 0.741, 1.121, 0.741]","['A_0201', 'B_3501', 'B_3503', 'DPB1_1001', 'DQB1_0201', 'DQB1_0503', 'DQB1_0604', 'DRB1_0301', 'DRB1_1104']",4
Abnormal posture,8,11,"[0.02211, 0.02204, 0.02314, 0.02969, 0.02674, 0.00682, 0.01774, 0.03581]","[1.604, 1.896, 2.446, 2.349, 1.548, 0.48, 2.022, 0.633]","['B_0801', 'B_1801', 'B_3503', 'B_3701', 'C_0701', 'DPA1_0201', 'DPA1_0202', 'DQA1_0301']",4
Abnormal sputum,7,10,"[0.001363, 0.01836]","[2.081, 1.846]","['A_3001', 'B_3901']",4
Abnormality of gait,4,11,"[0.006554, 0.02706, 0.006322, 0.04456, 0.01945]","[0.835, 1.226, 1.518, 1.317, 1.45]","['A_0201', 'A_1101', 'DPB1_1001', 'DQB1_0503', 'DRB1_1401']",4
Acquired absence of breast,9,11,"[0.01144, 0.01952, 0.04943, 0.02732, 0.02286, 0.02315, 0.01909, 0.03942, 0.01089, 0.01108, 0.04306, 0.03973]","[1.555, 0.64, 1.357, 0.639, 1.294, 1.541, 1.665, 1.287, 0.73, 1.602, 1.282, 1.431]","['A_2902', 'B_1501', 'B_4001', 'C_0303', 'DPA1_0103', 'DPA1_0202', 'DPB1_0501', 'DQB1_0201', 'DQB1_0301', 'DQB1_0604', 'DRB1_0301', 'DRB1_1302']",4
Acquired hypothyroidism,7,8,"[0.0465, 0.04175, 0.03426, 0.0007357, 0.03094, 0.01196, 0.03529, 0.01536]","[1.79, 0.497, 0.62, 2.453, 1.802, 1.987, 0.344, 0.332]","['A_2601', 'B_3501', 'DPB1_0402', 'DPB1_0601', 'DQA1_0401', 'DQB1_0402', 'DQB1_0604', 'DRB1_1302']",4
Acquired spondylolisthesis,7,10,[0.04318],[1.885],['A_3001'],4
Acute laryngitis and tracheitis,6,10,"[0.04439, 0.04437, 0.01438, 0.01417, 0.03808, 0.01225, 0.02321]","[0.546, 2.557, 0.516, 0.173, 0.546, 2.955, 0.505]","['B_0801', 'B_3901', 'C_0701', 'DPB1_0101', 'DQB1_0201', 'DQB1_0502', 'DRB1_0301']",4
Anatomical abnormatilies of kidney and ureters,6,7,[0.004084],[2.101],['A_3101'],4
Anemia in neoplastic disease,7,11,"[0.006531, 0.02454, 0.02874]","[0.536, 0.712, 0.538]","['A_2301', 'DPA1_0202', 'DQB1_0502']",4
Anemia of chronic disease,7,11,"[0.02576, 0.01052, 0.04607, 0.01065, 0.01718, 0.04896]","[0.744, 0.75, 1.137, 0.84, 0.763, 0.766]","['A_2601', 'A_3201', 'C_0304', 'C_0401', 'DPA1_0202', 'DPB1_0501']",4
Anterior pituitary disorders,8,10,"[0.02896, 0.04808]","[0.611, 1.753]","['DPA1_0201', 'DPA1_0202']",4
Apnea,7,10,"[0.001246, 0.008851, 0.03848, 0.003768, 0.01914]","[3.684, 2.355, 1.598, 3.208, 3.009]","['A_3001', 'A_3101', 'B_0801', 'B_3503', 'DRB1_0407']",4
Asthma with exacerbation,6,7,"[0.02025, 0.04948, 0.04663, 0.029]","[1.652, 0.741, 0.136, 1.344]","['A_3101', 'B_0702', 'B_3801', 'DPB1_0201']",4
Benign neoplasm of brain and other parts of nervous system,4,11,"[0.01257, 0.02095, 0.02886, 0.02289]","[1.701, 1.367, 1.387, 1.586]","['DPB1_1001', 'DQA1_0103', 'DRB1_0404', 'DRB1_1104']",4
Benign neoplasm of eye,9,12,"[0.001888, 0.001825, 0.00512]","[2.46, 0.353, 2.558]","['DPA1_0202', 'DPB1_0201', 'DPB1_0501']",4
Bladder neck obstruction,6,8,"[0.04099, 0.004755]","[1.848, 2.881]","['B_5701', 'DPB1_1301']",4
Bronchitis,6,10,"[0.03996, 0.0367, 0.02081, 0.01757, 0.01932, 0.03934, 0.04494]","[2.123, 1.651, 0.601, 1.845, 2.258, 1.823, 0.133]","['B_3901', 'B_5701', 'DPB1_0301', 'DQA1_0401', 'DQB1_0502', 'DRB1_0801', 'DRB1_1104']",4
Calculus of bile duct,7,9,"[0.01296, 0.001965, 0.04963, 0.03478, 0.03237]","[1.607, 2.662, 0.369, 1.486, 1.909]","['A_2402', 'B_3503', 'C_0102', 'C_0401', 'DRB1_0801']",4
Cancer of brain,8,8,"[0.0307, 0.03567, 0.01551, 0.04613, 0.01035, 0.0188, 0.03926, 0.01815, 0.02428]","[0.809, 1.224, 1.6, 1.588, 1.506, 0.778, 1.316, 1.49, 0.786]","['A_0101', 'DPB1_0401', 'DPB1_1001', 'DPB1_1401', 'DQA1_0401', 'DQB1_0201', 'DQB1_0303', 'DQB1_0402', 'DRB1_0301']",4
Cancer of brain and nervous system,8,8,"[0.01475, 0.01626, 0.01695, 0.002551, 0.03292, 0.0061, 0.04315, 0.003684, 0.008245, 0.03595, 0.01624]","[0.795, 0.777, 1.566, 1.574, 0.833, 0.753, 1.296, 1.582, 0.761, 0.421, 1.515]","['A_0101', 'B_0801', 'DPB1_1001', 'DQA1_0401', 'DQA1_0501', 'DQB1_0201', 'DQB1_0303', 'DQB1_0402', 'DRB1_0301', 'DRB1_0407', 'DRB1_0801']",4
Cancer of bronchus; lung,6,9,"[0.0295, 0.04488, 0.01564, 0.02344, 0.02442]","[0.798, 0.767, 0.819, 0.799, 0.836]","['B_3501', 'C_0102', 'C_0401', 'DQB1_0603', 'DRB1_0101']",4
Cancer of eye,9,12,"[0.03547, 0.01196, 0.01813, 0.03205, 0.001047]","[2.639, 2.119, 2.077, 1.59, 2.87]","['B_1401', 'C_0802', 'DPA1_0202', 'DPB1_0201', 'DPB1_0501']",4
Cancer of kidney and renal pelvis,8,8,"[0.03598, 0.009258, 0.03718, 0.02009, 0.04267, 0.009192, 0.02163]","[0.809, 0.624, 1.482, 1.476, 1.435, 0.733, 1.533]","['A_0101', 'B_4403', 'DPB1_0501', 'DQA1_0401', 'DQB1_0402', 'DRB1_0401', 'DRB1_0801']",4
Cancer of liver and intrahepatic bile duct,6,7,"[0.00369, 0.0174]","[1.934, 0.34]","['A_3101', 'C_0102']",4
