phewas_string,x,y,p_values,odds_ratios,snps,cluster
Abdominal hernia,6,5,"[0.02086, 0.02714, 0.02319, 0.03119]","[0.873, 0.885, 0.882, 1.33]","['DPB1_0301', 'DQB1_0201', 'DRB1_0301', 'DRB1_1201']",1
Abnormal findings on mammogram or breast exam,7,5,[0.02539],[0.877],['DPB1_0201'],1
Abnormal function study of cardiovascular system,10,1,"[0.01657, 1.702e-05, 0.04785, 0.01708, 0.03877, 0.0132, 0.02598, 0.03188, 0.038, 0.02078, 0.03376, 0.01184, 0.01415, 0.009206, 0.02626, 0.01494]","[0.706, 3.012, 0.722, 0.444, 1.289, 1.601, 1.306, 1.724, 0.746, 1.343, 1.313, 1.416, 0.682, 0.637, 1.33, 1.362]","['A_0301', 'B_1401', 'B_4402', 'C_0102', 'C_0701', 'C_0802', 'DPA1_0103', 'DPB1_1301', 'DQA1_0101', 'DQA1_0201', 'DQB1_0201', 'DQB1_0202', 'DQB1_0501', 'DRB1_0101', 'DRB1_0301', 'DRB1_0701']",1
Abnormal glucose,11,1,"[0.03115, 0.01602, 0.03155, 0.03172, 0.04546, 0.0382]","[0.862, 0.614, 0.874, 1.145, 1.142, 1.14]","['B_0801', 'B_4901', 'C_0701', 'DQA1_0201', 'DRB1_0401', 'DRB1_0701']",1
Abnormal heart sounds,7,2,"[0.002022, 0.01376, 0.03852, 0.02194, 0.01691, 0.01249, 0.0182, 0.0142, 0.02471, 0.01184]","[1.52, 0.803, 1.293, 0.82, 1.292, 1.204, 0.709, 0.802, 1.311, 0.799]","['A_3101', 'B_0702', 'C_0202', 'C_0702', 'DPB1_0101', 'DQA1_0501', 'DQB1_0303', 'DQB1_0602', 'DRB1_1302', 'DRB1_1501']",1
Abnormal mammogram,7,5,[0.02888],[0.866],['DPB1_0201'],1
Absent or infrequent menstruation,9,4,"[0.01261, 0.003122, 0.00721, 0.03085, 0.03518, 0.01276, 0.04194, 0.04866]","[2.526, 2.325, 1.717, 1.589, 0.638, 1.885, 0.648, 1.614]","['A_3001', 'B_1302', 'B_1501', 'C_0303', 'DQB1_0201', 'DQB1_0604', 'DRB1_0301', 'DRB1_1302']",1
Acidosis,10,5,"[0.03586, 0.04566, 0.008153, 0.03635]","[1.242, 0.78, 1.679, 0.823]","['B_4001', 'C_0303', 'C_1402', 'DPB1_0402']",1
Acquired foot deformities,6,5,"[0.008508, 0.03274, 0.04171, 0.00323, 0.0006564, 0.01174]","[0.705, 0.807, 0.841, 1.241, 1.324, 1.608]","['B_3501', 'C_0401', 'DQA1_0101', 'DQA1_0301', 'DQB1_0302', 'DRB1_1201']",1
Acquired toe deformities,11,0,"[0.02547, 0.03584, 0.01414, 0.00726, 0.04453, 0.0004123, 0.0446, 0.04569]","[1.634, 0.757, 1.44, 1.347, 0.757, 1.538, 0.751, 0.437]","['DPB1_0501', 'DQA1_0101', 'DQA1_0103', 'DQA1_0301', 'DQB1_0201', 'DQB1_0302', 'DQB1_0501', 'DRB1_1104']",1
